,age,Country,A1,A2_translation,vague,real_polarity_class,real_polarity,cut_words,letters,comment_length,cleaned_comment
103,66,Italy,9.0,"request accepted quickly and very advantageous rates, very helpful, kind and competent staff.",Vague 2021,positive,1,"['request', 'accepted', 'quickly', 'and', 'very', 'advantageous', 'rates,', 'very', 'helpful,', 'kind', 'and', 'competent', 'staff.']","['r', 'e', 'q', 'u', 'e', 's', 't', ' ', 'a', 'c', 'c', 'e', 'p', 't', 'e', 'd', ' ', 'q', 'u', 'i', 'c', 'k', 'l', 'y', ' ', 'a', 'n', 'd', ' ', 'v', 'e', 'r', 'y', ' ', 'a', 'd', 'v', 'a', 'n', 't', 'a', 'g', 'e', 'o', 'u', 's', ' ', 'r', 'a', 't', 'e', 's', ',', ' ', 'v', 'e', 'r', 'y', ' ', 'h', 'e', 'l', 'p', 'f', 'u', 'l', ',', ' ', 'k', 'i', 'n', 'd', ' ', 'a', 'n', 'd', ' ', 'c', 'o', 'm', 'p', 'e', 't', 'e', 'n', 't', ' ', 's', 't', 'a', 'f', 'f', '.']",13,request accepted quickly advantageous rates helpful kind competent staff
104,46,Italy,9.0,the speed in working the dossier and in disbursing the loan at the time requested.,Vague 2021,positive,1,"['the', 'speed', 'in', 'working', 'the', 'dossier', 'and', 'in', 'disbursing', 'the', 'loan', 'at', 'the', 'time', 'requested.']","['t', 'h', 'e', ' ', 's', 'p', 'e', 'e', 'd', ' ', 'i', 'n', ' ', 'w', 'o', 'r', 'k', 'i', 'n', 'g', ' ', 't', 'h', 'e', ' ', 'd', 'o', 's', 's', 'i', 'e', 'r', ' ', 'a', 'n', 'd', ' ', 'i', 'n', ' ', 'd', 'i', 's', 'b', 'u', 'r', 's', 'i', 'n', 'g', ' ', 't', 'h', 'e', ' ', 'l', 'o', 'a', 'n', ' ', 'a', 't', ' ', 't', 'h', 'e', ' ', 't', 'i', 'm', 'e', ' ', 'r', 'e', 'q', 'u', 'e', 's', 't', 'e', 'd', '.']",15,speed working dossier disbursing loan time requested
105,36,Italy,6.0,i had a good time,Vague 2021,negative,0,"['i', 'had', 'a', 'good', 'time']","['i', ' ', 'h', 'a', 'd', ' ', 'a', ' ', 'g', 'o', 'o', 'd', ' ', 't', 'i', 'm', 'e']",5,good time
106,34,Italy,3.0,because it is a loan that i have received for more than 10 years and since i have found myself in a difficult period i am now paying interest on the interest because the amount of the credit has been discounted for some time,Vague 2021,negative,0,"['because', 'it', 'is', 'a', 'loan', 'that', 'i', 'have', 'received', 'for', 'more', 'than', '10', 'years', 'and', 'since', 'i', 'have', 'found', 'myself', 'in', 'a', 'difficult', 'period', 'i', 'am', 'now', 'paying', 'interest', 'on', 'the', 'interest', 'because', 'the', 'amount', 'of', 'the', 'credit', 'has', 'been', 'discounted', 'for', 'some', 'time']","['b', 'e', 'c', 'a', 'u', 's', 'e', ' ', 'i', 't', ' ', 'i', 's', ' ', 'a', ' ', 'l', 'o', 'a', 'n', ' ', 't', 'h', 'a', 't', ' ', 'i', ' ', 'h', 'a', 'v', 'e', ' ', 'r', 'e', 'c', 'e', 'i', 'v', 'e', 'd', ' ', 'f', 'o', 'r', ' ', 'm', 'o', 'r', 'e', ' ', 't', 'h', 'a', 'n', ' ', '1', '0', ' ', 'y', 'e', 'a', 'r', 's', ' ', 'a', 'n', 'd', ' ', 's', 'i', 'n', 'c', 'e', ' ', 'i', ' ', 'h', 'a', 'v', 'e', ' ', 'f', 'o', 'u', 'n', 'd', ' ', 'm', 'y', 's', 'e', 'l', 'f', ' ', 'i', 'n', ' ', 'a', ' ', 'd', 'i', 'f', 'f', 'i', 'c', 'u', 'l', 't', ' ', 'p', 'e', 'r', 'i', 'o', 'd', ' ', 'i', ' ', 'a', 'm', ' ', 'n', 'o', 'w', ' ', 'p', 'a', 'y', 'i', 'n', 'g', ' ', 'i', 'n', 't', 'e', 'r', 'e', 's', 't', ' ', 'o', 'n', ' ', 't', 'h', 'e', ' ', 'i', 'n', 't', 'e', 'r', 'e', 's', 't', ' ', 'b', 'e', 'c', 'a', 'u', 's', 'e', ' ', 't', 'h', 'e', ' ', 'a', 'm', 'o', 'u', 'n', 't', ' ', 'o', 'f', ' ', 't', 'h', 'e', ' ', 'c', 'r', 'e', 'd', 'i', 't', ' ', 'h', 'a', 's', ' ', 'b', 'e', 'e', 'n', ' ', 'd', 'i', 's', 'c', 'o', 'u', 'n', 't', 'e', 'd', ' ', 'f', 'o', 'r', ' ', 's', 'o', 'm', 'e', ' ', 't', 'i', 'm', 'e']",44,loan received years since found difficult period paying interest interest amount credit discounted time
107,33,Italy,9.0,they gave me a loan quite easily and i have to pay little interest,Vague 2021,positive,1,"['they', 'gave', 'me', 'a', 'loan', 'quite', 'easily', 'and', 'i', 'have', 'to', 'pay', 'little', 'interest']","['t', 'h', 'e', 'y', ' ', 'g', 'a', 'v', 'e', ' ', 'm', 'e', ' ', 'a', ' ', 'l', 'o', 'a', 'n', ' ', 'q', 'u', 'i', 't', 'e', ' ', 'e', 'a', 's', 'i', 'l', 'y', ' ', 'a', 'n', 'd', ' ', 'i', ' ', 'h', 'a', 'v', 'e', ' ', 't', 'o', ' ', 'p', 'a', 'y', ' ', 'l', 'i', 't', 't', 'l', 'e', ' ', 'i', 'n', 't', 'e', 'r', 'e', 's', 't']",14,gave loan quite easily pay little interest
108,68,France,2.0,not giving all loan information.,Vague 2021,negative,0,"['not', 'giving', 'all', 'loan', 'information.']","['n', 'o', 't', ' ', 'g', 'i', 'v', 'i', 'n', 'g', ' ', 'a', 'l', 'l', ' ', 'l', 'o', 'a', 'n', ' ', 'i', 'n', 'f', 'o', 'r', 'm', 'a', 't', 'i', 'o', 'n', '.']",5,giving loan information
110,54,Italy,9.0,speed and transparency,Vague 2021,positive,1,"['speed', 'and', 'transparency']","['s', 'p', 'e', 'e', 'd', ' ', 'a', 'n', 'd', ' ', 't', 'r', 'a', 'n', 's', 'p', 'a', 'r', 'e', 'n', 'c', 'y']",3,speed transparency
111,22,Italy,9.0,excellent service,Vague 2021,positive,1,"['excellent', 'service']","['e', 'x', 'c', 'e', 'l', 'l', 'e', 'n', 't', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e']",2,excellent service
112,45,France,2.0,"they were extremely bad. everything is going well but you don't have to ask them anything. a simple change of rib was impossible to do. i changed banks and because of this credit at younited, i had to keep my old account open (with associated fees) for several months. in the end i repaid early",Vague 2021,negative,0,"['they', 'were', 'extremely', 'bad.', 'everything', 'is', 'going', 'well', 'but', 'you', ""don't"", 'have', 'to', 'ask', 'them', 'anything.', 'a', 'simple', 'change', 'of', 'rib', 'was', 'impossible', 'to', 'do.', 'i', 'changed', 'banks', 'and', 'because', 'of', 'this', 'credit', 'at', 'younited,', 'i', 'had', 'to', 'keep', 'my', 'old', 'account', 'open', '(with', 'associated', 'fees)', 'for', 'several', 'months.', 'in', 'the', 'end', 'i', 'repaid', 'early']","['t', 'h', 'e', 'y', ' ', 'w', 'e', 'r', 'e', ' ', 'e', 'x', 't', 'r', 'e', 'm', 'e', 'l', 'y', ' ', 'b', 'a', 'd', '.', ' ', 'e', 'v', 'e', 'r', 'y', 't', 'h', 'i', 'n', 'g', ' ', 'i', 's', ' ', 'g', 'o', 'i', 'n', 'g', ' ', 'w', 'e', 'l', 'l', ' ', 'b', 'u', 't', ' ', 'y', 'o', 'u', ' ', 'd', 'o', 'n', ""'"", 't', ' ', 'h', 'a', 'v', 'e', ' ', 't', 'o', ' ', 'a', 's', 'k', ' ', 't', 'h', 'e', 'm', ' ', 'a', 'n', 'y', 't', 'h', 'i', 'n', 'g', '.', ' ', 'a', ' ', 's', 'i', 'm', 'p', 'l', 'e', ' ', 'c', 'h', 'a', 'n', 'g', 'e', ' ', 'o', 'f', ' ', 'r', 'i', 'b', ' ', 'w', 'a', 's', ' ', 'i', 'm', 'p', 'o', 's', 's', 'i', 'b', 'l', 'e', ' ', 't', 'o', ' ', 'd', 'o', '.', ' ', 'i', ' ', 'c', 'h', 'a', 'n', 'g', 'e', 'd', ' ', 'b', 'a', 'n', 'k', 's', ' ', 'a', 'n', 'd', ' ', 'b', 'e', 'c', 'a', 'u', 's', 'e', ' ', 'o', 'f', ' ', 't', 'h', 'i', 's', ' ', 'c', 'r', 'e', 'd', 'i', 't', ' ', 'a', 't', ' ', 'y', 'o', 'u', 'n', 'i', 't', 'e', 'd', ',', ' ', 'i', ' ', 'h', 'a', 'd', ' ', 't', 'o', ' ', 'k', 'e', 'e', 'p', ' ', 'm', 'y', ' ', 'o', 'l', 'd', ' ', 'a', 'c', 'c', 'o', 'u', 'n', 't', ' ', 'o', 'p', 'e', 'n', ' ', '(', 'w', 'i', 't', 'h', ' ', 'a', 's', 's', 'o', 'c', 'i', 'a', 't', 'e', 'd', ' ', 'f', 'e', 'e', 's', ')', ' ', 'f', 'o', 'r', ' ', 's', 'e', 'v', 'e', 'r', 'a', 'l', ' ', 'm', 'o', 'n', 't', 'h', 's', '.', ' ', 'i', 'n', ' ', 't', 'h', 'e', ' ', 'e', 'n', 'd', ' ', 'i', ' ', 'r', 'e', 'p', 'a', 'i', 'd', ' ', 'e', 'a', 'r', 'l', 'y']",55,extremely bad everything going well ask anything simple change rib impossible changed banks credit younited keep old account open associated fees several months end repaid early
113,31,France,5.0,high fees,Vague 2021,negative,0,"['high', 'fees']","['h', 'i', 'g', 'h', ' ', 'f', 'e', 'e', 's']",2,high fees
114,45,France,9.0,"efficient, attentive and competent",Vague 2021,positive,1,"['efficient,', 'attentive', 'and', 'competent']","['e', 'f', 'f', 'i', 'c', 'i', 'e', 'n', 't', ',', ' ', 'a', 't', 't', 'e', 'n', 't', 'i', 'v', 'e', ' ', 'a', 'n', 'd', ' ', 'c', 'o', 'm', 'p', 'e', 't', 'e', 'n', 't']",4,efficient attentive competent
115,56,France,10.0,make it easier to get credit,Vague 2021,positive,1,"['make', 'it', 'easier', 'to', 'get', 'credit']","['m', 'a', 'k', 'e', ' ', 'i', 't', ' ', 'e', 'a', 's', 'i', 'e', 'r', ' ', 't', 'o', ' ', 'g', 'e', 't', ' ', 'c', 'r', 'e', 'd', 'i', 't']",6,make easier get credit
116,40,France,5.0,attention credit granted too easily but with extremely expensive interest rates that means that you hardly repay anything each month because of interest,Vague 2021,negative,0,"['attention', 'credit', 'granted', 'too', 'easily', 'but', 'with', 'extremely', 'expensive', 'interest', 'rates', 'that', 'means', 'that', 'you', 'hardly', 'repay', 'anything', 'each', 'month', 'because', 'of', 'interest']","['a', 't', 't', 'e', 'n', 't', 'i', 'o', 'n', ' ', 'c', 'r', 'e', 'd', 'i', 't', ' ', 'g', 'r', 'a', 'n', 't', 'e', 'd', ' ', 't', 'o', 'o', ' ', 'e', 'a', 's', 'i', 'l', 'y', ' ', 'b', 'u', 't', ' ', 'w', 'i', 't', 'h', ' ', 'e', 'x', 't', 'r', 'e', 'm', 'e', 'l', 'y', ' ', 'e', 'x', 'p', 'e', 'n', 's', 'i', 'v', 'e', ' ', 'i', 'n', 't', 'e', 'r', 'e', 's', 't', ' ', 'r', 'a', 't', 'e', 's', ' ', 't', 'h', 'a', 't', ' ', 'm', 'e', 'a', 'n', 's', ' ', 't', 'h', 'a', 't', ' ', 'y', 'o', 'u', ' ', 'h', 'a', 'r', 'd', 'l', 'y', ' ', 'r', 'e', 'p', 'a', 'y', ' ', 'a', 'n', 'y', 't', 'h', 'i', 'n', 'g', ' ', 'e', 'a', 'c', 'h', ' ', 'm', 'o', 'n', 't', 'h', ' ', 'b', 'e', 'c', 'a', 'u', 's', 'e', ' ', 'o', 'f', ' ', 'i', 'n', 't', 'e', 'r', 'e', 's', 't']",23,attention credit granted easily extremely expensive interest rates means hardly repay anything month interest
117,34,France,9.0,clear and available explanations in case of questions,Vague 2021,positive,1,"['clear', 'and', 'available', 'explanations', 'in', 'case', 'of', 'questions']","['c', 'l', 'e', 'a', 'r', ' ', 'a', 'n', 'd', ' ', 'a', 'v', 'a', 'i', 'l', 'a', 'b', 'l', 'e', ' ', 'e', 'x', 'p', 'l', 'a', 'n', 'a', 't', 'i', 'o', 'n', 's', ' ', 'i', 'n', ' ', 'c', 'a', 's', 'e', ' ', 'o', 'f', ' ', 'q', 'u', 'e', 's', 't', 'i', 'o', 'n', 's']",8,clear available explanations case questions
119,40,Italy,6.0,in line with expectations,Vague 2021,negative,0,"['in', 'line', 'with', 'expectations']","['i', 'n', ' ', 'l', 'i', 'n', 'e', ' ', 'w', 'i', 't', 'h', ' ', 'e', 'x', 'p', 'e', 'c', 't', 'a', 't', 'i', 'o', 'n', 's']",4,line expectations
121,43,Italy,9.0,"it is a solid, traditional and reputable bank",Vague 2021,positive,1,"['it', 'is', 'a', 'solid,', 'traditional', 'and', 'reputable', 'bank']","['i', 't', ' ', 'i', 's', ' ', 'a', ' ', 's', 'o', 'l', 'i', 'd', ',', ' ', 't', 'r', 'a', 'd', 'i', 't', 'i', 'o', 'n', 'a', 'l', ' ', 'a', 'n', 'd', ' ', 'r', 'e', 'p', 'u', 't', 'a', 'b', 'l', 'e', ' ', 'b', 'a', 'n', 'k']",8,solid traditional reputable
125,58,France,9.0,no problem with them,Vague 2021,positive,1,"['no', 'problem', 'with', 'them']","['n', 'o', ' ', 'p', 'r', 'o', 'b', 'l', 'e', 'm', ' ', 'w', 'i', 't', 'h', ' ', 't', 'h', 'e', 'm']",4,problem
128,51,Italy,1.0,too many interests,Vague 2021,negative,0,"['too', 'many', 'interests']","['t', 'o', 'o', ' ', 'm', 'a', 'n', 'y', ' ', 'i', 'n', 't', 'e', 'r', 'e', 's', 't', 's']",3,many interests
130,30,France,9.0,it's my bank,Vague 2021,positive,1,"[""it's"", 'my', 'bank']","['i', 't', ""'"", 's', ' ', 'm', 'y', ' ', 'b', 'a', 'n', 'k']",3,
135,31,France,9.0,because i never had pb,Vague 2021,positive,1,"['because', 'i', 'never', 'had', 'pb']","['b', 'e', 'c', 'a', 'u', 's', 'e', ' ', 'i', ' ', 'n', 'e', 'v', 'e', 'r', ' ', 'h', 'a', 'd', ' ', 'p', 'b']",5,never
136,41,Italy,9.0,excellent relationship with customers,Vague 2021,positive,1,"['excellent', 'relationship', 'with', 'customers']","['e', 'x', 'c', 'e', 'l', 'l', 'e', 'n', 't', ' ', 'r', 'e', 'l', 'a', 't', 'i', 'o', 'n', 's', 'h', 'i', 'p', ' ', 'w', 'i', 't', 'h', ' ', 'c', 'u', 's', 't', 'o', 'm', 'e', 'r', 's']",4,excellent relationship customers
138,54,France,6.0,this is my bank,Vague 2021,negative,0,"['this', 'is', 'my', 'bank']","['t', 'h', 'i', 's', ' ', 'i', 's', ' ', 'm', 'y', ' ', 'b', 'a', 'n', 'k']",4,
142,56,Italy,5.0,sxczx fbhdf,Vague 2021,negative,0,"['sxczx', 'fbhdf']","['s', 'x', 'c', 'z', 'x', ' ', 'f', 'b', 'h', 'd', 'f']",2,sxczx fbhdf
143,65,France,9.0,very good welcome from providers,Vague 2021,positive,1,"['very', 'good', 'welcome', 'from', 'providers']","['v', 'e', 'r', 'y', ' ', 'g', 'o', 'o', 'd', ' ', 'w', 'e', 'l', 'c', 'o', 'm', 'e', ' ', 'f', 'r', 'o', 'm', ' ', 'p', 'r', 'o', 'v', 'i', 'd', 'e', 'r', 's']",5,good welcome providers
144,71,France,5.0,difficulties getting answers,Vague 2021,negative,0,"['difficulties', 'getting', 'answers']","['d', 'i', 'f', 'f', 'i', 'c', 'u', 'l', 't', 'i', 'e', 's', ' ', 'g', 'e', 't', 't', 'i', 'n', 'g', ' ', 'a', 'n', 's', 'w', 'e', 'r', 's']",3,difficulties getting answers
146,28,Italy,5.0,there are better things,Vague 2021,negative,0,"['there', 'are', 'better', 'things']","['t', 'h', 'e', 'r', 'e', ' ', 'a', 'r', 'e', ' ', 'b', 'e', 't', 't', 'e', 'r', ' ', 't', 'h', 'i', 'n', 'g', 's']",4,better things
147,34,France,6.0,banks are all the same,Vague 2021,negative,0,"['banks', 'are', 'all', 'the', 'same']","['b', 'a', 'n', 'k', 's', ' ', 'a', 'r', 'e', ' ', 'a', 'l', 'l', ' ', 't', 'h', 'e', ' ', 's', 'a', 'm', 'e']",5,banks
149,58,France,5.0,everyone does what he wants,Vague 2021,negative,0,"['everyone', 'does', 'what', 'he', 'wants']","['e', 'v', 'e', 'r', 'y', 'o', 'n', 'e', ' ', 'd', 'o', 'e', 's', ' ', 'w', 'h', 'a', 't', ' ', 'h', 'e', ' ', 'w', 'a', 'n', 't', 's']",5,everyone wants
150,43,France,6.0,nobody to receive me for an urgent credit request to buy a car at the agency. i am told to go by phone that it will go faster and the person sends me on the roses. so decided to go back to the agency and they found me someone to start then i went home and sent him the missing documents by email and called me back at the end of the day and still waiting for the answer,Vague 2021,negative,0,"['nobody', 'to', 'receive', 'me', 'for', 'an', 'urgent', 'credit', 'request', 'to', 'buy', 'a', 'car', 'at', 'the', 'agency.', 'i', 'am', 'told', 'to', 'go', 'by', 'phone', 'that', 'it', 'will', 'go', 'faster', 'and', 'the', 'person', 'sends', 'me', 'on', 'the', 'roses.', 'so', 'decided', 'to', 'go', 'back', 'to', 'the', 'agency', 'and', 'they', 'found', 'me', 'someone', 'to', 'start', 'then', 'i', 'went', 'home', 'and', 'sent', 'him', 'the', 'missing', 'documents', 'by', 'email', 'and', 'called', 'me', 'back', 'at', 'the', 'end', 'of', 'the', 'day', 'and', 'still', 'waiting', 'for', 'the', 'answer']","['n', 'o', 'b', 'o', 'd', 'y', ' ', 't', 'o', ' ', 'r', 'e', 'c', 'e', 'i', 'v', 'e', ' ', 'm', 'e', ' ', 'f', 'o', 'r', ' ', 'a', 'n', ' ', 'u', 'r', 'g', 'e', 'n', 't', ' ', 'c', 'r', 'e', 'd', 'i', 't', ' ', 'r', 'e', 'q', 'u', 'e', 's', 't', ' ', 't', 'o', ' ', 'b', 'u', 'y', ' ', 'a', ' ', 'c', 'a', 'r', ' ', 'a', 't', ' ', 't', 'h', 'e', ' ', 'a', 'g', 'e', 'n', 'c', 'y', '.', ' ', 'i', ' ', 'a', 'm', ' ', 't', 'o', 'l', 'd', ' ', 't', 'o', ' ', 'g', 'o', ' ', 'b', 'y', ' ', 'p', 'h', 'o', 'n', 'e', ' ', 't', 'h', 'a', 't', ' ', 'i', 't', ' ', 'w', 'i', 'l', 'l', ' ', 'g', 'o', ' ', 'f', 'a', 's', 't', 'e', 'r', ' ', 'a', 'n', 'd', ' ', 't', 'h', 'e', ' ', 'p', 'e', 'r', 's', 'o', 'n', ' ', 's', 'e', 'n', 'd', 's', ' ', 'm', 'e', ' ', 'o', 'n', ' ', 't', 'h', 'e', ' ', 'r', 'o', 's', 'e', 's', '.', ' ', 's', 'o', ' ', 'd', 'e', 'c', 'i', 'd', 'e', 'd', ' ', 't', 'o', ' ', 'g', 'o', ' ', 'b', 'a', 'c', 'k', ' ', 't', 'o', ' ', 't', 'h', 'e', ' ', 'a', 'g', 'e', 'n', 'c', 'y', ' ', 'a', 'n', 'd', ' ', 't', 'h', 'e', 'y', ' ', 'f', 'o', 'u', 'n', 'd', ' ', 'm', 'e', ' ', 's', 'o', 'm', 'e', 'o', 'n', 'e', ' ', 't', 'o', ' ', 's', 't', 'a', 'r', 't', ' ', 't', 'h', 'e', 'n', ' ', 'i', ' ', 'w', 'e', 'n', 't', ' ', 'h', 'o', 'm', 'e', ' ', 'a', 'n', 'd', ' ', 's', 'e', 'n', 't', ' ', 'h', 'i', 'm', ' ', 't', 'h', 'e', ' ', 'm', 'i', 's', 's', 'i', 'n', 'g', ' ', 'd', 'o', 'c', 'u', 'm', 'e', 'n', 't', 's', ' ', 'b', 'y', ' ', 'e', 'm', 'a', 'i', 'l', ' ', 'a', 'n', 'd', ' ', 'c', 'a', 'l', 'l', 'e', 'd', ' ', 'm', 'e', ' ', 'b', 'a', 'c', 'k', ' ', 'a', 't', ' ', 't', 'h', 'e', ' ', 'e', 'n', 'd', ' ', 'o', 'f', ' ', 't', 'h', 'e', ' ', 'd', 'a', 'y', ' ', 'a', 'n', 'd', ' ', 's', 't', 'i', 'l', 'l', ' ', 'w', 'a', 'i', 't', 'i', 'n', 'g', ' ', 'f', 'o', 'r', ' ', 't', 'h', 'e', ' ', 'a', 'n', 's', 'w', 'e', 'r']",79,nobody receive urgent credit request buy car agency told phone faster person sends roses decided back agency found someone start went home sent missing documents email called back end day still waiting answer
152,27,France,10.0,"because i am completely satisfied whether it is for the offer, the efficiency, the respect, the listening, the follow-up and the management.",Vague 2021,positive,1,"['because', 'i', 'am', 'completely', 'satisfied', 'whether', 'it', 'is', 'for', 'the', 'offer,', 'the', 'efficiency,', 'the', 'respect,', 'the', 'listening,', 'the', 'follow-up', 'and', 'the', 'management.']","['b', 'e', 'c', 'a', 'u', 's', 'e', ' ', 'i', ' ', 'a', 'm', ' ', 'c', 'o', 'm', 'p', 'l', 'e', 't', 'e', 'l', 'y', ' ', 's', 'a', 't', 'i', 's', 'f', 'i', 'e', 'd', ' ', 'w', 'h', 'e', 't', 'h', 'e', 'r', ' ', 'i', 't', ' ', 'i', 's', ' ', 'f', 'o', 'r', ' ', 't', 'h', 'e', ' ', 'o', 'f', 'f', 'e', 'r', ',', ' ', 't', 'h', 'e', ' ', 'e', 'f', 'f', 'i', 'c', 'i', 'e', 'n', 'c', 'y', ',', ' ', 't', 'h', 'e', ' ', 'r', 'e', 's', 'p', 'e', 'c', 't', ',', ' ', 't', 'h', 'e', ' ', 'l', 'i', 's', 't', 'e', 'n', 'i', 'n', 'g', ',', ' ', 't', 'h', 'e', ' ', 'f', 'o', 'l', 'l', 'o', 'w', '-', 'u', 'p', ' ', 'a', 'n', 'd', ' ', 't', 'h', 'e', ' ', 'm', 'a', 'n', 'a', 'g', 'e', 'm', 'e', 'n', 't', '.']",22,completely satisfied whether offer efficiency respect listening follow management
155,63,France,5.0,"it's quite exceptional, a reimbursement offer in 4 x free of charge, so i didn't even hesitate but it's not in my habits and i don't recommend this type of financing....",Vague 2021,negative,0,"[""it's"", 'quite', 'exceptional,', 'a', 'reimbursement', 'offer', 'in', '4', 'x', 'free', 'of', 'charge,', 'so', 'i', ""didn't"", 'even', 'hesitate', 'but', ""it's"", 'not', 'in', 'my', 'habits', 'and', 'i', ""don't"", 'recommend', 'this', 'type', 'of', 'financing....']","['i', 't', ""'"", 's', ' ', 'q', 'u', 'i', 't', 'e', ' ', 'e', 'x', 'c', 'e', 'p', 't', 'i', 'o', 'n', 'a', 'l', ',', ' ', 'a', ' ', 'r', 'e', 'i', 'm', 'b', 'u', 'r', 's', 'e', 'm', 'e', 'n', 't', ' ', 'o', 'f', 'f', 'e', 'r', ' ', 'i', 'n', ' ', '4', ' ', 'x', ' ', 'f', 'r', 'e', 'e', ' ', 'o', 'f', ' ', 'c', 'h', 'a', 'r', 'g', 'e', ',', ' ', 's', 'o', ' ', 'i', ' ', 'd', 'i', 'd', 'n', ""'"", 't', ' ', 'e', 'v', 'e', 'n', ' ', 'h', 'e', 's', 'i', 't', 'a', 't', 'e', ' ', 'b', 'u', 't', ' ', 'i', 't', ""'"", 's', ' ', 'n', 'o', 't', ' ', 'i', 'n', ' ', 'm', 'y', ' ', 'h', 'a', 'b', 'i', 't', 's', ' ', 'a', 'n', 'd', ' ', 'i', ' ', 'd', 'o', 'n', ""'"", 't', ' ', 'r', 'e', 'c', 'o', 'm', 'm', 'e', 'n', 'd', ' ', 't', 'h', 'i', 's', ' ', 't', 'y', 'p', 'e', ' ', 'o', 'f', ' ', 'f', 'i', 'n', 'a', 'n', 'c', 'i', 'n', 'g', '.', '.', '.', '.']",31,quite exceptional reimbursement offer free charge even hesitate habits recommend type financing
156,53,France,6.0,a little expensive as credit but for the rest it is very flexible,Vague 2021,negative,0,"['a', 'little', 'expensive', 'as', 'credit', 'but', 'for', 'the', 'rest', 'it', 'is', 'very', 'flexible']","['a', ' ', 'l', 'i', 't', 't', 'l', 'e', ' ', 'e', 'x', 'p', 'e', 'n', 's', 'i', 'v', 'e', ' ', 'a', 's', ' ', 'c', 'r', 'e', 'd', 'i', 't', ' ', 'b', 'u', 't', ' ', 'f', 'o', 'r', ' ', 't', 'h', 'e', ' ', 'r', 'e', 's', 't', ' ', 'i', 't', ' ', 'i', 's', ' ', 'v', 'e', 'r', 'y', ' ', 'f', 'l', 'e', 'x', 'i', 'b', 'l', 'e']",13,little expensive credit rest flexible
157,26,Italy,3.0,"rude arrogant loan sharks sons of shit intrusive and spam advertising without asking, i wish them a tumor to the whole family tree present past and future",Vague 2021,negative,0,"['rude', 'arrogant', 'loan', 'sharks', 'sons', 'of', 'shit', 'intrusive', 'and', 'spam', 'advertising', 'without', 'asking,', 'i', 'wish', 'them', 'a', 'tumor', 'to', 'the', 'whole', 'family', 'tree', 'present', 'past', 'and', 'future']","['r', 'u', 'd', 'e', ' ', 'a', 'r', 'r', 'o', 'g', 'a', 'n', 't', ' ', 'l', 'o', 'a', 'n', ' ', 's', 'h', 'a', 'r', 'k', 's', ' ', 's', 'o', 'n', 's', ' ', 'o', 'f', ' ', 's', 'h', 'i', 't', ' ', 'i', 'n', 't', 'r', 'u', 's', 'i', 'v', 'e', ' ', 'a', 'n', 'd', ' ', 's', 'p', 'a', 'm', ' ', 'a', 'd', 'v', 'e', 'r', 't', 'i', 's', 'i', 'n', 'g', ' ', 'w', 'i', 't', 'h', 'o', 'u', 't', ' ', 'a', 's', 'k', 'i', 'n', 'g', ',', ' ', 'i', ' ', 'w', 'i', 's', 'h', ' ', 't', 'h', 'e', 'm', ' ', 'a', ' ', 't', 'u', 'm', 'o', 'r', ' ', 't', 'o', ' ', 't', 'h', 'e', ' ', 'w', 'h', 'o', 'l', 'e', ' ', 'f', 'a', 'm', 'i', 'l', 'y', ' ', 't', 'r', 'e', 'e', ' ', 'p', 'r', 'e', 's', 'e', 'n', 't', ' ', 'p', 'a', 's', 't', ' ', 'a', 'n', 'd', ' ', 'f', 'u', 't', 'u', 'r', 'e']",27,rude arrogant loan sharks sons shit intrusive spam advertising without asking wish tumor whole family tree present past future
158,56,Italy,10.0,"excellent value, good times and characteristics",Vague 2021,positive,1,"['excellent', 'value,', 'good', 'times', 'and', 'characteristics']","['e', 'x', 'c', 'e', 'l', 'l', 'e', 'n', 't', ' ', 'v', 'a', 'l', 'u', 'e', ',', ' ', 'g', 'o', 'o', 'd', ' ', 't', 'i', 'm', 'e', 's', ' ', 'a', 'n', 'd', ' ', 'c', 'h', 'a', 'r', 'a', 'c', 't', 'e', 'r', 'i', 's', 't', 'i', 'c', 's']",6,excellent value good times characteristics
159,23,Italy,9.0,because they usually have zero interest,Vague 2021,positive,1,"['because', 'they', 'usually', 'have', 'zero', 'interest']","['b', 'e', 'c', 'a', 'u', 's', 'e', ' ', 't', 'h', 'e', 'y', ' ', 'u', 's', 'u', 'a', 'l', 'l', 'y', ' ', 'h', 'a', 'v', 'e', ' ', 'z', 'e', 'r', 'o', ' ', 'i', 'n', 't', 'e', 'r', 'e', 's', 't']",6,usually zero interest
160,59,France,9.0,know-how trust responsiveness,Vague 2021,positive,1,"['know-how', 'trust', 'responsiveness']","['k', 'n', 'o', 'w', '-', 'h', 'o', 'w', ' ', 't', 'r', 'u', 's', 't', ' ', 'r', 'e', 's', 'p', 'o', 'n', 's', 'i', 'v', 'e', 'n', 'e', 's', 's']",3,know trust responsiveness
